id,car_id,status,order_date,delivery_date,canceled_date,start_country,dest_country,start_type,destination_type
91745764,1208667542,3,2022-03-07,2022-03-09,,DE,DE,Branch,workshop
91267828,1240283015,3,2022-01-17,2022-01-17,,DE,DE,workshop,workshop
91666736,1240283015,3,2022-02-27,2022-03-08,,DE,DE,workshop,workshop
91666737,1240283015,3,2022-03-08,2022-03-11,,DE,DE,workshop,zipcode
91265760,1240283015,3,2022-01-12,2022-01-16,,DE,DE,Branch,workshop
91602741,1240532425,3,2022-02-20,2022-02-20,,ES,ES,Branch,workshop
91647791,1242995846,3,2022-02-23,2022-02-28,,ES,ES,Branch,workshop
91764335,1243637676,3,2022-03-13,2022-03-20,,DE,DE,workshop,showroom
91764336,1243637676,3,2022-03-20,2022-03-22,,DE,DE,showroom,zipcode
91310211,1243637676,3,2022-01-17,2022-01-26,,DE,DE,Branch,workshop
91318954,1243637676,3,2022-01-26,2022-02-01,,DE,DE,workshop,workshop
91669726,1244678822,3,2022-03-03,2022-03-09,,DE,DE,workshop,Branch
91669727,1244678822,3,2022-03-09,2022-03-13,,DE,DE,Branch,zipcode
91446350,1244678822,3,2022-02-10,2022-02-13,,DE,DE,workshop,workshop
91443966,1244678822,3,2022-02-01,2022-02-10,,DE,DE,Branch,workshop
91195338,1246114740,3,2022-01-03,2022-01-13,,DE,DE,Branch,workshop
91388214,1246307088,3,2022-01-26,2022-02-02,,DE,DE,Branch,workshop
91743989,1246307088,3,2022-03-08,2022-03-15,,DE,DE,workshop,showroom
91743990,1246307088,3,2022-03-15,2022-03-20,,DE,DE,showroom,zipcode
91395533,1246307088,3,2022-02-02,2022-02-02,,DE,DE,workshop,workshop
91682404,1246593200,3,2022-02-27,2022-03-13,,DE,DE,Branch,workshop
91320877,1247299869,3,2022-01-18,2022-01-20,,AT,AT,Branch,LC
92169061,1247299869,2,2022-04-27,,,PL,PL,workshop,zipcode
91692596,1247299869,3,2022-02-28,2022-02-28,,PL,PL,workshop,workshop
91321504,1247299869,3,2022-01-23,2022-02-01,,AT,PL,LC,workshop
91560308,1247325978,3,2022-02-14,2022-02-22,,ES,ES,Branch,workshop
91635055,1247663838,4,,,2022-02-27,DE,DE,workshop,workshop
91635056,1247663838,3,2022-02-28,2022-03-06,,DE,DE,workshop,zipcode
91680253,1247663838,3,2022-02-27,2022-02-28,,DE,DE,workshop,workshop
91188954,1247663838,3,2022-01-02,2022-01-09,,DE,DE,Branch,workshop
91510081,1247759894,3,2022-02-08,2022-02-13,,DE,DE,Branch,workshop
91185596,1248060550,3,2022-01-02,2022-01-04,,DE,DE,Branch,LC
91185597,1248060550,3,2022-01-05,2022-01-16,,DE,DE,LC,workshop
92193410,1248060550,1,,,,DE,DE,workshop,zipcode
92193409,1248060550,1,,,,DE,DE,workshop,workshop
91465483,1248060550,3,2022-02-06,2022-02-20,,DE,DE,workshop,workshop
91465484,1248060550,4,2022-02-20,,2022-02-27,DE,DE,workshop,zipcode
91432569,1248060550,4,,,2022-02-01,DE,DE,workshop,Branch
91432570,1248060550,4,,,2022-02-01,DE,DE,Branch,zipcode
91561216,1248360792,3,2022-02-14,2022-02-14,,DE,DE,LC,workshop
92130547,1248360792,1,,,,DE,DE,Branch,zipcode
92130546,1248360792,2,2022-04-24,,,DE,DE,workshop,Branch
91396009,1248360792,4,2022-02-03,,2022-02-14,DE,DE,workshop,workshop
91341700,1248360792,3,2022-01-20,2022-01-24,,DE,DE,Branch,LC
91341701,1248360792,3,2022-01-25,2022-02-02,,DE,DE,LC,workshop
91372495,1248422040,3,2022-01-24,2022-01-31,,DE,DE,Branch,workshop
91546376,1248422040,3,2022-02-14,2022-02-24,,DE,DE,workshop,Branch
91188517,1248432246,3,2022-01-03,2022-01-05,,DE,DE,Branch,LC
91674521,1248432246,3,2022-03-03,2022-03-08,,DE,DE,workshop,Branch
91200886,1248432246,3,2022-01-06,2022-01-11,,DE,DE,LC,workshop
91251001,1248479142,3,2022-01-13,2022-01-20,,DE,PL,LC,workshop
91234715,1248479142,3,2022-01-09,2022-01-11,,DE,DE,Branch,LC
91455263,1248479142,3,2022-02-02,2022-02-01,,PL,PL,workshop,workshop
91726335,1248479534,3,2022-03-03,2022-03-07,,DE,DE,Branch,LC
91726336,1248479534,4,,,2022-03-13,DE,DE,LC,workshop
91804832,1248479534,3,2022-03-13,2022-03-16,,DE,DE,LC,workshop
91205824,1248585733,3,2022-01-04,2022-01-11,,ES,ES,Branch,workshop
92157881,1248649364,2,2022-04-24,,,DE,DE,workshop,workshop
91361443,1248649364,3,2022-01-23,2022-01-26,,DE,DE,Branch,LC
91361444,1248649364,3,2022-01-26,2022-01-26,,DE,DE,LC,workshop
91191420,1248661388,3,2022-01-03,2022-01-13,,ES,ES,Branch,workshop
91523594,1248661388,3,2022-02-10,2022-02-15,,ES,ES,workshop,showroom
91656383,1248680805,4,2022-02-24,,2022-02-28,DE,DE,workshop,LC
91258599,1248680805,3,2022-01-11,2022-01-16,,DE,DE,Branch,workshop
91279636,1248960488,3,2022-01-13,2022-01-23,,DE,PL,LC,workshop
92000300,1248960488,3,2022-04-11,2022-04-17,,PL,PL,workshop,zipcode
91187648,1248960488,3,2022-01-02,2022-01-03,,DE,DE,Branch,LC
91455253,1248960488,3,2022-02-02,2022-02-01,,PL,PL,workshop,workshop
91836018,1248960814,3,2022-03-16,2022-03-20,,DE,DE,LC,workshop
91836019,1248960814,3,2022-03-20,2022-03-27,,DE,DE,workshop,zipcode
91189901,1248960814,3,2022-01-18,2022-01-19,,DE,DE,Branch,LC
91189902,1248960814,3,2022-01-20,2022-01-23,,DE,DE,LC,workshop
91761248,1248960814,4,,,2022-03-13,DE,DE,workshop,workshop
91761249,1248960814,4,,,2022-03-16,DE,DE,workshop,zipcode
91806328,1248960814,3,2022-03-13,2022-03-15,,DE,DE,workshop,workshop
91271439,1248974310,3,2022-01-24,2022-01-27,,DE,DE,workshop,workshop
91489978,1248974310,3,2022-02-06,2022-02-17,,DE,DE,workshop,zipcode
91227260,1248974310,3,2022-01-09,2022-01-10,,DE,DE,Branch,LC
91227261,1248974310,3,2022-01-11,2022-01-24,,DE,DE,LC,workshop
91373994,1249034665,4,,,2022-01-30,DE,DE,workshop,workshop
91373995,1249034665,4,,,2022-01-30,DE,DE,workshop,zipcode
91292329,1249034665,4,,,2022-01-19,DE,DE,workshop,workshop
91292330,1249034665,4,,,2022-01-19,DE,DE,workshop,showroom
91292331,1249034665,4,,,2022-01-19,DE,DE,showroom,zipcode
91187633,1249034665,3,2022-01-03,2022-01-04,,DE,DE,Branch,workshop
91606453,1249034665,3,2022-02-22,2022-03-02,,DE,DE,workshop,zipcode
91575138,1249101795,3,2022-02-16,2022-02-21,,DE,DE,workshop,Branch
91575139,1249101795,3,2022-02-21,2022-03-03,,DE,DE,Branch,zipcode
91308643,1249101795,3,2022-01-17,2022-01-25,,DE,DE,Branch,workshop
91318957,1249101795,3,2022-01-26,2022-02-01,,DE,DE,workshop,workshop
91569257,1249181148,4,,,2022-02-16,DE,DE,workshop,Branch
91569258,1249181148,4,,,2022-02-16,DE,DE,Branch,zipcode
91603493,1249181148,4,,,2022-02-27,DE,DE,workshop,Branch
91603494,1249181148,3,2022-03-01,2022-03-06,,DE,DE,Branch,zipcode
91680421,1249181148,3,2022-02-27,2022-03-01,,DE,DE,workshop,Branch
91248135,1249181148,3,2022-01-10,2022-01-13,,DE,DE,Branch,workshop
91991345,1249225905,3,2022-04-05,2022-04-19,,DE,DE,workshop,zipcode
91212651,1249225905,3,2022-01-05,2022-01-12,,DE,DE,Branch,workshop
92104546,1249237747,3,2022-04-18,2022-04-19,,PL,PL,workshop,zipcode
91207852,1249237747,3,2022-01-09,2022-01-10,,AT,AT,Branch,LC
91207853,1249237747,3,2022-01-11,2022-01-18,,AT,PL,LC,workshop
91447250,1249237747,3,2022-02-01,2022-02-01,,PL,PL,workshop,workshop
91380437,1249290098,3,2022-01-25,2022-02-03,,ES,ES,Branch,workshop
91719726,1249290098,3,2022-03-08,2022-03-10,,ES,ES,workshop,zipcode
91361170,1249290098,4,2022-01-23,,2022-01-25,ES,ES,Branch,workshop
91455229,1249306929,3,2022-02-02,2022-02-01,,PL,PL,LC,LC
91450142,1249306929,3,2022-02-01,2022-02-01,,PL,PL,workshop,LC
91449595,1249306929,4,,,2022-02-01,PL,PL,workshop,LC
91494460,1249306929,4,,,2022-02-06,PL,PL,LC,zipcode
91494841,1249306929,3,2022-03-03,2022-03-07,,PL,PL,LC,zipcode
91220963,1249306929,3,2022-01-06,2022-01-10,,DE,DE,Branch,LC
91220964,1249306929,3,2022-01-11,2022-01-23,,DE,PL,LC,workshop
91493656,1249306929,4,,,2022-02-06,PL,PL,LC,zipcode
91228737,1249431739,3,2022-01-09,2022-01-10,,ES,ES,Branch,workshop
91362866,1249434550,3,2022-01-23,2022-01-30,,DE,DE,Branch,LC
91362867,1249434550,4,,,2022-01-31,DE,DE,LC,workshop
91824623,1220053315,3,2022-03-15,2022-03-17,,DE,DE,Branch,workshop
91447007,1232646341,3,2022-02-01,2022-02-07,,ES,ES,Branch,workshop
91306625,1233233260,3,2022-01-17,2022-01-26,,DE,DE,Branch,workshop
91308470,1233233260,3,2022-01-26,2022-02-01,,DE,DE,workshop,workshop
91650014,1233233260,3,2022-02-24,2022-02-27,,DE,DE,workshop,Branch
91563645,1236516739,4,,,2022-02-22,DE,DE,workshop,Branch
91563646,1236516739,3,2022-03-01,2022-03-03,,DE,DE,Branch,zipcode
91636689,1236516739,3,2022-02-22,2022-03-01,,DE,DE,workshop,Branch
91268730,1236516739,3,2022-01-12,2022-01-19,,DE,DE,Branch,workshop
91647358,1239605039,4,,,2022-02-23,DE,DE,Branch,workshop
91650407,1239605039,3,2022-02-23,2022-03-13,,DE,DE,Branch,workshop
91730568,1241615004,4,2022-03-06,,2022-03-14,DE,DE,Branch,workshop
91815975,1241615004,3,2022-03-14,2022-03-17,,DE,DE,Branch,workshop
92158344,1244137668,1,,,,DE,DE,workshop,workshop
92158345,1244137668,1,,,,DE,DE,workshop,zipcode
91443375,1244137668,3,2022-02-01,2022-02-15,,DE,DE,Branch,workshop
91866140,1244212447,3,2022-03-20,2022-03-22,,DE,DE,Branch,workshop
91802766,1245254112,3,2022-03-13,2022-03-22,,ES,ES,Branch,workshop
91572964,1245748999,3,2022-02-15,2022-02-24,,ES,ES,Branch,workshop
92192743,1246001358,1,,,,ES,ES,showroom,zipcode
92192742,1246001358,2,2022-04-27,,,ES,ES,workshop,showroom
91647799,1246001358,3,2022-02-23,2022-03-06,,ES,ES,Branch,workshop
91923843,1246031405,3,2022-03-27,2022-02-24,,ES,ES,workshop,zipcode
91585104,1246031405,4,2022-02-16,,2022-02-17,ES,ES,workshop,Branch
91585105,1246031405,4,,,2022-02-17,ES,ES,Branch,zipcode
91425596,1246031405,3,2022-01-30,2022-02-02,,ES,ES,Branch,workshop
91623635,1246914710,3,2022-02-21,2022-03-02,,DE,DE,Branch,workshop
91833249,1246914710,3,2022-03-16,2022-03-23,,DE,DE,workshop,zipcode
91186399,1247099059,3,2022-01-02,2022-01-13,,ES,ES,Branch,workshop
91692664,1247158784,4,,,2022-03-09,DE,DE,workshop,workshop
91692665,1247158784,3,2022-03-13,2022-03-16,,DE,DE,workshop,zipcode
91772323,1247158784,3,2022-03-09,2022-03-11,,DE,DE,workshop,workshop
91280081,1247158784,3,2022-01-13,2022-01-18,,DE,DE,Branch,workshop
91281771,1247158784,3,2022-01-18,2022-01-27,,DE,DE,workshop,workshop
91351125,1247438306,3,2022-01-23,2022-01-25,,DE,DE,Branch,workshop
91755393,1247438306,3,2022-03-13,2022-03-20,,DE,DE,workshop,LC
91755394,1247438306,3,2022-03-20,2022-03-22,,DE,DE,LC,zipcode
91206527,1247627001,3,2022-01-13,2022-01-16,,DE,DE,Branch,LC
91206528,1247627001,3,2022-01-23,2022-01-27,,DE,PL,LC,workshop
91198201,1247627001,4,,,2022-01-04,DE,DE,Branch,LC
91426254,1247627001,3,2022-01-30,2022-01-30,,PL,PL,workshop,workshop
91572705,1247627001,3,2022-02-15,2022-02-14,,PL,PL,workshop,workshop
91500377,1247627001,3,2022-02-07,2022-02-07,,PL,PL,workshop,workshop
91379352,1247990005,3,2022-01-25,2022-01-27,,ES,ES,Branch,workshop
91784237,1247990005,4,,,2022-03-13,ES,ES,workshop,zipcode
91611549,1248136598,3,2022-02-20,2022-02-23,,DE,DE,Branch,workshop
91510532,1248136598,4,2022-02-08,,2022-02-17,DE,DE,Branch,workshop
91593279,1248136598,4,2022-02-17,,2022-02-20,DE,DE,Branch,workshop
91750823,1248304412,3,2022-03-14,2022-03-15,,ES,ES,workshop,zipcode
91195107,1248304412,3,2022-01-03,2022-01-09,,ES,ES,Branch,workshop
91744428,1248389649,3,2022-03-08,2022-03-16,,DE,DE,workshop,workshop
91744429,1248389649,3,2022-03-17,2022-03-21,,DE,DE,workshop,zipcode
91350484,1248389649,3,2022-01-23,2022-01-25,,DE,DE,Branch,workshop
91395968,1248389649,3,2022-01-26,2022-02-01,,DE,DE,workshop,workshop
91200645,1248536918,3,2022-01-04,2022-01-10,,ES,ES,Branch,workshop
91389488,1248628953,3,2022-01-26,2022-01-27,,ES,ES,Branch,workshop
91622277,1248628953,3,2022-02-24,2022-03-01,,ES,ES,workshop,showroom
91622278,1248628953,3,2022-03-02,2022-03-07,,ES,ES,showroom,zipcode
91446201,1248735361,3,2022-02-01,2022-02-03,,DE,DE,Branch,LC
91446202,1248735361,3,2022-02-06,2022-02-07,,DE,DE,LC,workshop
91250613,1248814993,3,2022-01-10,2022-01-12,,DE,DE,Branch,LC
91250614,1248814993,3,2022-01-13,2022-01-27,,DE,DE,LC,workshop
